Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,"NASA (LSP)
",Success,F9 B4,Success,18 April 2018,04:26
54,KSC,Bangabandhu-1,"3,600 kg",GTO,"Thales-Alenia / BTRC
",Success,F9 B5B1046.1,Success,11 May 2018,04:26
55,VAFB,Iridium NEXT,"6,460 kg",Polar,"
Iridium Communications
GFZʥ NASA

",Success,F9 B4B1043.2,No attempt,22 May 2018,04:26
56,CCAFS,SES-12,"5,384 kg",GTO,"SES
",Success,F9 B4B1040.2,No attempt,4 June 2018,04:26
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,"NASA (CRS)
",Success,F9 B4B1045.2,No attempt,29 June 2018,04:26
58,CCAFS,Telstar 19V,"7,075 kg",GTO,"Telesat
",Success,F9 B5,Success,22 July 2018,04:26
59,VAFB,Iridium NEXT,"9,600 kg",Polar,"Iridium Communications
",Success,F9 B5B1048,Success,25 July 2018,04:26
60,CCAFS,Merah Putih,"5,800 kg",GTO,"Telkom Indonesia
",Success,F9 B5B1046.2,Success,7 August 2018,04:26
61,CCAFS,Telstar 18V,"7,060 kg",GTO,"Telesat
",Success,F9 B5,Success,10 September 2018,04:26
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,"CONAE
",Success,F9 B5B1048.2,Success,8 October 2018,04:26
63,KSC,Es'hail 2,"5,300 kg",GTO,"Es'hailSat
",Success,F9 B5B1047.2,Success,15 November 2018,04:26
64,VAFB,SSO-A,"~4,000 kg",SSO,"Spaceflight Industries
",Success,F9 B5B1046.3,Success,3 December 2018,04:26
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,"NASA (CRS)
","Success
",F9 B5,Failure,5 December 2018,04:26
66,CCAFS,GPS III,"4,400 kg",MEO,"USAF
",Success,F9 B5,No attempt,23 December 2018,04:26
67,VAFB,Iridium NEXT,"9,600 kg",Polar,"Iridium Communications
","Success
",F9 B5B1049.2,Success,11 January 2019,04:26
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,"
PSN
SpaceIL / IAI
Air Force Research

","Success
",F9 B5B1048.3,Success,22 February 2019,04:26
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO," NASA (CCD) 
","Success
",F9 B5[268],Success,2 March 2019,04:26
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,"NASA (CRS)
","Success
",F9 B5,Success,4 May 2019,04:26
71,CCAFS,Starlink,"13,620 kg",LEO,"SpaceX
","Success
",F9 B5B1049.3,Success,24 May 2019,04:26
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,"Canadian Space Agency (CSA)
","Success
",F9 B5B1051.2,Success,12 June 2019,04:26
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,"NASA (CRS)
","Success
",F9 B5B1056.2,Success,25 July 2019,04:26
74,CCAFS,AMOS-17,"6,500 kg",GTO,"Spacecom
","Success
",F9 B5B1047.3,No attempt,6 August 2019,04:26
75,CCAFS,Starlink,"15,600 kg",LEO,"SpaceX
","Success
",F9 B5,Success,11 November 2019,04:26
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,"NASA (CRS)
","Success
",F9 B5,Success,5 December 2019,04:26
77,CCAFS,JCSat-18,"6,956 kg",GTO,"Sky Perfect JSATKacific 1
","Success
",F9 B5B1056.3,Success,17 December 2019,04:26
